oui,isPrivate,companyName,companyAddress,countryCode,assignmentBlockSize,dateCreated,dateUpdated
00:00:C8,0,Altos Computer Systems,,,MA-L,2026-07-05,2026-07-05
00:00:C9,0,Emulex Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:CA,0,Commscope,,,MA-L,2026-07-05,2026-07-05
00:00:CB,0,Compu-Shack Electronic Gmbh,,,MA-L,2026-07-05,2026-07-05
00:00:CC,0,"Densan Co., Ltd.",,,MA-L,2026-07-05,2026-07-05
00:00:CD,0,Allied Telesis Labs Ltd,,,MA-L,2026-07-05,2026-07-05
00:00:CE,0,Megadata Corp.,,,MA-L,2026-07-05,2026-07-05
00:00:CF,0,Hayes Microcomputer Products,,,MA-L,2026-07-05,2026-07-05
00:00:D0,0,Develcon Electronics Ltd.,,,MA-L,2026-07-05,2026-07-05
00:00:D1,0,Adaptec Incorporated,,,MA-L,2026-07-05,2026-07-05
00:00:D2,0,"Sbe, Inc.",,,MA-L,2026-07-05,2026-07-05
00:00:D3,0,Wang Laboratories Inc.,,,MA-L,2026-07-05,2026-07-05
00:00:D4,0,Pure Data Ltd.,,,MA-L,2026-07-05,2026-07-05
00:00:D5,0,Micrognosis International,,,MA-L,2026-07-05,2026-07-05
00:00:D6,0,Punch Line Holding,,,MA-L,2026-07-05,2026-07-05
00:00:D7,0,Dartmouth College,,,MA-L,2026-07-05,2026-07-05
00:00:D8,0,"Novell, Inc.",,,MA-L,2026-07-05,2026-07-05
00:00:D9,0,Nippon Telegraph & Telephone,,,MA-L,2026-07-05,2026-07-05
00:00:DA,0,Atex,,,MA-L,2026-07-05,2026-07-05
00:00:DB,0,British Telecommunications plc,,,MA-L,2026-07-05,2026-07-05
00:00:DC,0,Hayes Microcomputer Products,,,MA-L,2026-07-05,2026-07-05
00:00:DD,0,Tcl Incorporated,,,MA-L,2026-07-05,2026-07-05
00:00:DE,0,Cetia,,,MA-L,2026-07-05,2026-07-05
00:00:DF,0,Bell & Howell Pub Sys Div,,,MA-L,2026-07-05,2026-07-05
00:00:E0,0,Quadram Corp.,,,MA-L,2026-07-05,2026-07-05
00:00:E1,0,Grid Systems,,,MA-L,2026-07-05,2026-07-05
00:00:E2,0,Acer Technologies Corp.,,,MA-L,2026-07-05,2026-07-05
00:00:E3,0,Integrated Micro Products Ltd,,,MA-L,2026-07-05,2026-07-05
